"country","tot","dp","ri","gg","hf","ud","ped","ls","ps","hr","sa","fe","ei"
"Somalia","ALERT","A","A","A","A","A","B","A","B","A","A","A","A"
"South Sudan","ALERT","A","A","A","D","B","A","A","A","A","A","A","A"
"Central African Republic","ALERT","B","A","A","C","A","B","A","A","A","A","A","A"
"Sudan","ALERT","B","A","A","A","C","B","A","A","A","A","A","A"
"Yemen","ALERT","A","A","A","C","B","A","A","A","A","A","A","A"
"Syria","ALERT","B","A","A","B","C","C","A","B","A","A","A","A"
"Chad","ALERT","A","A","B","B","A","C","A","A","A","A","A","B"
"Congo (D. R.)","ALERT","A","A","A","D","B","B","A","A","A","A","A","A"
"Afghanistan","ALERT","A","A","B","B","C","B","A","A","B","A","B","A"
"Haiti","ALERT","A","C","D","B","A","B","A","A","C","C","A","A"
"Iraq","ALERT","B","A","A","C","C","D","A","C","B","A","A","A"
"Guinea","ALERT","B","B","B","C","C","A","A","A","C","B","A","C"
"Nigeria","ALERT","A","C","A","C","B","C","B","A","A","A","A","D"
"Pakistan","ALERT","B","B","A","C","D","C","B","B","B","A","B","A"
"Burundi","ALERT","A","A","B","D","C","B","B","B","B","B","B","B"
"Zimbabwe","ALERT","B","B","C","B","B","B","B","B","B","C","A","C"
"Guinea Bissau","ALERT","B","C","E","B","B","B","B","A","C","A","A","B"
"Eritrea","ALERT","A","B","D","C","C","B","A","B","A","C","B","C"
"Niger","ALERT","A","C","C","C","B","C","C","A","D","B","B","B"
"Kenya","ALERT","A","C","A","C","C","C","C","B","C","B","B","B"
"Cote d Ivoire","ALERT","B","C","B","D","B","D","B","B","B","C","A","A"
"Cameroon","ALERT","B","C","B","C","B","D","B","B","C","B","A","C"
"Uganda","ALERT","B","A","B","C","C","D","B","B","C","C","B","C"
"Ethiopia","ALERT","A","A","B","C","D","D","C","B","B","B","B","B"
"Libya","ALERT","E","C","B","D","E","C","A","C","A","A","A","A"
"Myanmar","ALERT","C","B","A","E","C","D","B","B","B","B","B","C"
"Liberia","ALERT","A","B","E","D","B","B","D","A","D","D","B","A"
"Mauritania","ALERT","B","B","C","D","D","C","B","A","B","C","B","B"
"Mali","ALERT","B","B","C","B","C","C","D","B","D","A","E","A"
"North Korea","ALERT","C","E","E","E","C","B","A","B","A","B","B","A"
"Congo (Republic)","ALERT","B","C","D","C","B","D","A","A","B","D","D","C"
"Rwanda","ALERT","B","C","A","C","B","D","D","C","C","E","B","C"
"Nepal","ALERT","B","C","A","D","C","D","C","C","C","D","B","C"
"Sierra Leone","ALERT","A","C","E","B","B","B","C","B","E","E","C","B"
"Timor-Leste","ALERT","A","D","D","C","D","B","C","B","E","C","B","B"
"Bangladesh","ALERT","C","D","B","C","D","D","C","C","C","C","A","E"
"Angola","ALERT","B","C","C","D","A","D","B","A","C","D","C","E"
"Egypt","ALERT","D","D","B","E","D","B","B","E","A","B","B","B"
"Djibouti","WARNING","B","C","D","E","B","C","C","B","C","D","C","B"
"Lebanon","WARNING","E","A","B","E","E","D","C","E","C","B","A","A"
"Burkina Faso","WARNING","A","D","E","C","B","D","C","B","D","B","B","C"
"Mozambique","WARNING","A","E","E","C","B","C","D","A","E","D","D","C"
"Sri Lanka","WARNING","E","C","A","C","C","E","C","E","B","C","B","D"
"Malawi","WARNING","A","D","E","B","B","B","D","B","D","E","C","B"
"Swaziland","WARNING","B","E","E","C","B","A","B","C","B","E","D","C"
"Cambodia","WARNING","C","E","C","C","D","E","B","C","C","D","B","C"
"Iran","WARNING","E","D","B","D","E","D","A","E","A","C","A","D"
"Gambia","WARNING","B","D","E","B","D","B","B","C","B","E","D","C"
"Zambia","WARNING","A","D","E","B","B","B","C","B","C","E","E","D"
"Papua New Guinea","WARNING","C","E","D","C","A","E","D","A","C","C","C","D"
"Togo","WARNING","C","D","E","C","B","D","C","B","D","D","C","D"
"Solomon Islands","WARNING","B","E","D","D","A","C","D","C","E","D","B","B"
"Equatorial Guinea","WARNING","C","E","D","E","B","D","A","C","A","D","B","E"
"Philippines","WARNING","C","C","B","D","E","E","C","D","E","A","C","D"
"Laos","WARNING","C","E","D","C","C","E","A","C","B","E","B","D"
"Madagascar","WARNING","B","E","E","D","B","C","C","A","E","C","C","D"
"Comoros","WARNING","C","E","E","C","C","B","D","B","D","D","C","C"
"Tajikistan","WARNING","B","E","C","D","E","C","A","E","C","D","B","D"
"Senegal","WARNING","B","C","D","C","C","C","E","C","D","E","D","D"
"Uzbekistan","WARNING","E","E","C","E","C","D","A","E","A","C","B","E"
"Guatemala","WARNING","C","E","B","D","B","E","D","C","D","C","D","E"
"Tanzania","WARNING","B","D","E","C","C","D","D","B","D","E","E","C"
"Venezuela","WARNING","E","E","C","E","D","D","B","C","B","D","B","E"
"Kyrgyzstan","WARNING","E","E","B","D","D","C","C","E","D","D","C","D"
"Russia","WARNING","E","E","B","E","D","E","B","E","A","A","B","E"
"Lesotho","WARNING","B","E","E","C","C","B","D","B","E","E","C","C"
"Colombia","WARNING","D","C","D","D","C","E","D","D","C","D","C","D"
"Honduras","WARNING","D","E","D","D","C","D","D","D","D","D","D","C"
"Israel (and West Bank)","WARNING","E","C","A","E","D","E","D","E","C","C","B","C"
"India","WARNING","B","E","B","E","C","E","E","C","D","C","C","E"
"Nicaragua","WARNING","E","E","D","B","B","E","C","D","E","E","C","C"
"Benin","WARNING","B","E","E","C","C","D","E","B","E","E","D","D"
"Georgia","WARNING","E","C","B","E","E","E","B","E","E","D","A","C"
"Thailand","WARNING","D","D","B","E","E","E","C","E","B","A","A","E"
"Bolivia","WARNING","D","E","D","D","B","E","D","D","D","D","B","E"
"Algeria","WARNING","E","D","C","E","D","D","C","E","D","C","C","E"
"Jordan","WARNING","D","A","C","E","E","D","D","E","C","E","D","C"
"Bhutan","WARNING","D","C","C","C","D","E","E","D","D","E","C","B"
"Turkey","WARNING","E","B","A","E","E","E","D","E","C","C","C","E"
"Micronesia","WARNING","C","E","E","A","B","B","E","D","E","E","E","A"
"Azerbaijan","WARNING","E","C","D","E","E","E","B","E","B","D","C","D"
"Fiji","WARNING","E","E","C","C","D","D","C","E","D","D","C","C"
"Turkmenistan","WARNING","E","E","D","E","D","E","A","E","B","D","C","E"
"Ecuador","WARNING","E","E","C","E","D","E","D","E","E","D","B","E"
"Ukraine","WARNING","E","E","D","E","E","D","B","E","D","C","C","B"
"China","WARNING","D","E","B","E","C","E","B","E","B","E","C","E"
"Indonesia","WARNING","D","E","C","D","E","E","E","D","C","E","D","E"
"Bosnia","WARNING","E","C","D","E","E","E","D","E","D","E","B","B"
"Tunisia","WARNING","E","E","C","E","E","D","D","E","D","C","C","D"
"Morocco","WARNING","E","E","C","C","D","E","D","E","D","E","D","E"
"Maldives","WARNING","E","E","E","E","E","D","B","E","C","D","C","D"
"Belarus","WARNING","E","E","C","E","E","D","B","E","B","D","B","C"
"Moldova","WARNING","E","E","D","D","E","D","D","E","E","D","B","C"
"Sao Tome","WARNING","D","E","E","B","D","B","E","D","E","E","D","C"
"Paraguay","WARNING","D","E","E","E","B","E","C","D","D","D","C","E"
"El Salvador","WARNING","D","E","D","C","D","E","E","D","D","D","E","E"
